Name	Updated	Constables	Moms For Liberty Members (2022)	Moms Demand Action Members (2022)   Moms for Liberty (Oct 2023)
Adams	2/26/2023	13	374     0
Allegheny	2/26/2023	81	0	1000
Armstrong	2/4/2023	6	0	
Beaver	2/26/2023	14	52	
Bedford	3/4/2026	4	0	
Berks	2/26/2023	31	771	
Blair	2/26/2023	8	191	
Bradford	3/4/2026	10	0	
Bucks	2/26/2023	34	1200	
Butler	3/4/2026	8	0	
Cambria	3/4/2026	6	0	
Cameron	3/4/2026	0	0	
Carbon	3/4/2026	8	0	
Centre	3/4/2026	11	0	
Chester	2/26/2023	37	1300	
Clarion	3/4/2026	2	0	
Clearfield	3/4/2026	5	0	
Clinton	3/4/2026	4	0	
Columbia	3/4/2026	6	0	
Crawford	3/3/2026	1	0	
Cumberland	2/26/2023	12	392	
Dauphin	2/26/2023	13	69	
Delaware	2/26/2023	41	687	
Elk	3/4/2026	1	0	
Erie	2/26/2023	19	265	
Fayette	3/4/2026	23	0	
Forest	3/4/2026	0	0	
Franklin	2/26/2023	11	772	
Fulton	3/4/2026	0	0	
Greene	3/4/2026	4	0	
Huntingdon	3/4/2026	1	0	
Indiana	3/4/2026	3	0	
Jefferson	3/4/2026	1	0	
Juniata	3/4/2026	0	0	
Lackawanna	2/26/2023	17	218	
Lancaster	2/26/2023	37	622	50
Lawrence	3/4/2026	7	0	
Lebanon	2/26/2023	15	691	
Lehigh	2/26/2023	15	358	
Luzerne	3/4/2026	30	0	
Lycoming	3/4/2026	5	0	
McKean	2/26/2023	4	30	
Mercer	3/4/2026	12	0	
Mifflin	3/4/2026	2	0	
Monroe	2/26/2023	14	371	
Montgomery	2/26/2023	32	1400	299
Montour	3/4/2026	1	0	
Northampton	2/26/2023	19	47	
Northumberland	3/4/2026	7	0	
Perry	3/4/2026	10	0	
Philadelphia	2/26/2023	0	0	
Pike	2/26/2023	7	87	
Potter	3/4/2026	0	0	
Schuylkill	2/26/2023	7	158	
Snyder	2/26/2023	1	74	
Somerset	3/4/2026	4	0	
Sullivan	3/4/2026	0	0	
Susquehanna	3/4/2026	7	0	
Tioga	3/4/2026	5	0	
Union	2/26/2023	1	65	
Venango	3/4/2026	7	0	
Warren	3/3/2026	4	0	
Washington	2/26/2023	25	308	
Wayne	3/4/2026	6	0	
Westmoreland	3/4/2026	20	0	
Wyoming	3/4/2026	2	0	
York	2/26/2023	29	405	