County	School District	Level Up	OSTCP Eligible	School District	Last Updated	Website	Number of Students	# of students in Special Ed	District Population	# of Elementary Schools	# Of Teachers	Number of Staff	% White Teachers	% White Students	% White Special Ed	% Black Students	% Black Special Ed	% Hispanic Students	% Hispanic Special Ed	% Asian Students	% Asian Special Ed	% Multiracial students	% Multiracial students in special Ed	Yearly Budgeted Expenses	Special Ed Budget	Special Ed Staff	Underfundedness per POWER Interfait			PA % Proficient in Math	PA % Proficient in Reading
Lancaster	Conestoga Valley	N	N	Conestoga Valley School District																											
Lancaster	Donegal	N	N	Donegal School District																											
Lancaster	Eastern Lancaster County	N	N	Eastern Lancaster County School District																											
Lancaster	Elizabethtown Area	N	N	Elizabethtown Area School District																											
Lancaster	Ephrata Area	Y	N	Ephrata Area School District																											
Lancaster	Hempfield	N	N	Hempfield School District																											
Lancaster	La Academia Partnership Charter School	N	N	La Academia Partnership Charter School																											
Lancaster	Lampeter-Strasburg	N	N	Lampeter-Strasburg School District																											
Lancaster	Lancaster	Y	Y	Lancaster School District																											
Lancaster	Lancaster County Academy	N	N	Lancaster County Academy																											
Lancaster	Lancaster County Career And Technical Center	N	N	Lancaster County Career And Technical Center																											
Lancaster	Manheim Central	N	N	Manheim Central School District																											
Lancaster	Manheim Township	N	N	Manheim Township School District																											
Lancaster	Penn Manor	N	N	Penn Manor School District																											
Lancaster	Pequea Valley	N	N	Pequea Valley School District																											
Lancaster	Solanco	N	N	Solanco School District																											
Lancaster	Warwick	N	N	Warwick School District																											
Lawrence	Ellwood City Area	N	N	Ellwood City Area School District																											
Lawrence	Laurel	N	N	Laurel School District																											
Lawrence	Lawrence County Career And Technical Center	N	N	Lawrence County Career And Technical Center																											
Lawrence	Mohawk Area	N	N	Mohawk Area School District																											
Lawrence	Neshannock Township	N	N	Neshannock Township School District																											
Lawrence	New Castle Area	Y	Y	New Castle Area School District																											
Lawrence	Shenango Area	N	N	Shenango Area School District																											
Lawrence	Union Area	N	N	Union Area School District																											
Lawrence	Wilmington Area	N	N	Wilmington Area School District																											
Lebanon	Annville-Cleona	N	N	Annville-Cleona School District																											
Lebanon	Cornwall-Lebanon	N	N	Cornwall-Lebanon School District																											
Lebanon	Eastern Lebanon County	N	N	Eastern Lebanon County School District																											
Lebanon	Lebanon	Y	Y	Lebanon School District																											
Lebanon	Lebanon County Career And Technical Center	N	N	Lebanon County Career And Technical Center																											
Lebanon	Northern Lebanon	N	N	Northern Lebanon School District																											
Lebanon	Palmyra Area	N	N	Palmyra Area School District																											
Lehigh	Allentown City	Y	Y	Allentown City School District																											
Lehigh	Arts Academy Cs	N	N	Arts Academy Cs																											
Lehigh	Arts Academy Elementary Charter School	N	N	Arts Academy Elementary Charter School																											
Lehigh	Catasauqua Area	N	N	Catasauqua Area School District																											
Lehigh	Circle Of Seasons Charter School	N	N	Circle Of Seasons Charter School																											
Lehigh	East Penn	N	N	East Penn School District																											
Lehigh	Executive Education Academy Charter School	N	N	Executive Education Academy Charter School																											
Lehigh	Innovative Arts Academy Cs	N	N	Innovative Arts Academy Cs																											
Lehigh	Lehigh Career & Technical Institute	N	N	Lehigh Career & Technical Institute School District																											
Lehigh	Lincoln Leadership Academy Charter School	N	N	Lincoln Leadership Academy Charter School																											
Lehigh	Medical Academy Cs	N	N	Medical Academy Cs																											
Lehigh	Northern Lehigh	N	N	Northern Lehigh School District																											
Lehigh	Northwestern Lehigh	N	N	Northwestern Lehigh School District																											
Lehigh	Parkland	N	N	Parkland School District																											
Lehigh	Roberto Clemente Cs	N	N	Roberto Clemente Cs																											
Lehigh	ROBERTO CLEMENTE ELEMENTARY CHARTER SCHOOL	N	N	ROBERTO CLEMENTE ELEMENTARY CHARTER SCHOOL																											
Lehigh	Salisbury Township	N	N	Salisbury Township School District																											
Lehigh	Seven Generations Charter School	N	N	Seven Generations Charter School																											
Lehigh	Southern Lehigh	N	N	Southern Lehigh School District																											
Lehigh	Whitehall-Coplay	N	N	Whitehall-Coplay School District																											
Luzerne	Bear Creek Community Cs	N	N	Bear Creek Community Cs																											
Luzerne	Berwick Area	N	N	Berwick Area School District																											
Luzerne	Crestwood	N	N	Crestwood School District																											
Luzerne	Dallas	N	N	Dallas School District																											
Luzerne	Greater Nanticoke Area	Y	N	Greater Nanticoke Area School District																											
Luzerne	Hanover Area	Y	Y	Hanover Area School District																											
Luzerne	Hazleton Area	Y	Y	Hazleton Area School District																											
Luzerne	Hazleton Area Career Center	N	N	Hazleton Area Career Center																											
Luzerne	Lake-Lehman	N	N	Lake-Lehman School District																											
Luzerne	Northwest Area	Y	N	Northwest Area School District																											
Luzerne	Pittston Area	N	N	Pittston Area School District																											
Luzerne	West Side Career And Technical Center	N	N	West Side Career And Technical Center																											
Luzerne	Wilkes-Barre Area	Y	Y	Wilkes-Barre Area School District																											
Luzerne	Wilkes-Barre Area Career And Technical Center	N	N	Wilkes-Barre Area Career And Technical Center																											
Luzerne	Wyoming Area	Y	N	Wyoming Area School District																											
Luzerne	Wyoming Valley West	N	Y	Wyoming Valley West School District																											
Lycoming	East Lycoming	N	N	East Lycoming School District																											
Lycoming	Jersey Shore Area	N	N	Jersey Shore Area School District																											
Lycoming	Loyalsock Township	N	N	Loyalsock Township School District																											
Lycoming	Lycoming Career And Technical Center	N	N	Lycoming Career And Technical Center																											
Lycoming	Montgomery Area	N	N	Montgomery Area School District																											
Lycoming	Montoursville Area	N	N	Montoursville Area School District																											
Lycoming	Muncy	N	N	Muncy School District																											
Lycoming	South Williamsport Area	N	N	South Williamsport Area School District																											
Lycoming	Williamsport Area	Y	N	Williamsport Area School District																											
McKean	Bradford Area	N	N	Bradford Area School District																											
McKean	Kane Area	Y	N	Kane Area School District																											
McKean	Otto-Eldred	N	N	Otto-Eldred School District																											
McKean	Port Allegany	N	Y	Port Allegany School District																											
McKean	Seneca Highlands Career And Technical Center	N	N	Seneca Highlands Career And Technical Center																											
McKean	Smethport Area	N	N	Smethport Area School District																											
Mercer	Commodore Perry	N	N	Commodore Perry School District																											
Mercer	Farrell Area	Y	Y	Farrell Area School District																											
Mercer	Greenville Area	Y	N	Greenville Area School District																											
Mercer	Grove City Area	N	N	Grove City Area School District																											
Mercer	Hermitage	N	N	Hermitage School District																											
Mercer	Jamestown Area	N	N	Jamestown Area School District																											
Mercer	Keystone Education Center Cs	N	N	Keystone Education Center Cs																											
Mercer	Lakeview	N	N	Lakeview School District																											
Mercer	Mercer Area	Y	N	Mercer Area School District																											
Mercer	Mercer County Career Center	N	N	Mercer County Career Center																											
Mercer	Reynolds	N	N	Reynolds School District																											
Mercer	Sharon City	Y	Y	Sharon City School District																											
Mercer	Sharpsville Area	N	N	Sharpsville Area School District																											
Mercer	West Middlesex Area	N	N	West Middlesex Area School District																											
Mifflin	Mifflin County	N	N	Mifflin County School District																											
Mifflin	Mifflin County Academy Of Science And Technology	N	N	Mifflin County Academy Of Science And Technology																											
Monroe	East Stroudsburg Area	N	N	East Stroudsburg Area School District																											
Monroe	Evergreen Community Cs	N	N	Evergreen Community Cs																											
Monroe	Monroe Career & Technical Institute	N	N	Monroe Career & Technical Institute																											
Monroe	Pleasant Valley	N	N	Pleasant Valley School District																											
Monroe	Pocono Mountain	N	Y	Pocono Mountain School District																											
Monroe	Stroudsburg Area	N	N	Stroudsburg Area School District																											
Montgomery	Abington	N	N	Abington School District																											
Montgomery	Agora Cyber Cs	N	N	Agora Cyber Cs																											
Montgomery	Central Montco Technical High School	N	N	Central Montco Technical High School																											
Montgomery	Cheltenham Township	N	N	Cheltenham Township School District																											
Montgomery	Colonial	N	N	Colonial School District																											
Montgomery	Eastern Center For Arts & Technology	N	N	Eastern Center For Arts & Technology																											
Montgomery	Hatboro-Horsham	N	N	Hatboro-Horsham School District																											
Montgomery	Jenkintown	N	N	Jenkintown School District																											
Montgomery	Lower Merion	N	N	Lower Merion School District																											
Montgomery	Lower Moreland Township	N	N	Lower Moreland Township School District																											
Montgomery	Methacton	N	N	Methacton School District																											
Montgomery	Norristown Area	Y	Y	Norristown Area School District																											
Montgomery	North Montco Technical Career Center	N	N	North Montco Technical Career Center																											
Montgomery	North Penn	N	N	North Penn School District																											
Montgomery	Pennsylvania Virtual Charter School	N	N	Pennsylvania Virtual Charter School																											
Montgomery	Perkiomen Valley	N	N	Perkiomen Valley School District																											
Montgomery	Pottsgrove	N	N	Pottsgrove School District																											
Montgomery	Pottstown	Y	Y	Pottstown School District																											
Montgomery	Souderton Area	N	N	Souderton Area School District																											
Montgomery	Souderton Cs Collaborative	N	N	Souderton Cs Collaborative																											
Montgomery	Spring-Ford Area	N	N	Spring-Ford Area School District																											
Montgomery	Springfield Township	N	N	Springfield Township School District																											
Montgomery	Upper Dublin	N	N	Upper Dublin School District																											
Montgomery	Upper Merion Area	N	N	Upper Merion Area School District																											
Montgomery	Upper Moreland Township	N	N	Upper Moreland Township School District																											
Montgomery	Upper Perkiomen	N	N	Upper Perkiomen School District																											
Montgomery	Western Montgomery Career And Technical Center	N	N	Western Montgomery Career And Technical Center																											
Montgomery	Wissahickon	N	N	Wissahickon School District																											
Montour	Danville Area	N	N	Danville Area School District																											
Montour	Danville Ctr Adolescent Female	N	N	Danville Ctr Adolescent Female																											
Montour	North Central Secure Trmnt Unt	N	N	North Central Secure Trmnt Unt																											
Northampton	Bangor Area	N	N	Bangor Area School District																											
Northampton	Bethlehem Area	Y	Y	Bethlehem Area School District																											
Northampton	Bethlehem Avts	N	N	Bethlehem Avts School District																											
Northampton	Career Institute Of Technology	N	N	Career Institute Of Technology School District																											
Northampton	Easton Area	N	Y	Easton Area School District																											
Northampton	Easton Arts Academy Elementary Charter School	N	N	Easton Arts Academy Elementary Charter School																											
Northampton	Lehigh Valley Academy Regional Cs	N	N	Lehigh Valley Academy Regional Cs																											
Northampton	Lehigh Valley Charter High School For The Arts	N	N	Lehigh Valley Charter High School For The Arts																											
Northampton	Lehigh Valley Dual Language Charter School	N	N	Lehigh Valley Dual Language Charter School																											
Northampton	Nazareth Area	N	N	Nazareth Area School District																											
Northampton	Northampton Area	N	N	Northampton Area School District																											
Northampton	Pen Argyl Area	N	N	Pen Argyl Area School District																											
Northampton	Saucon Valley	N	N	Saucon Valley School District																											
Northampton	Wilson Area	N	N	Wilson Area School District																											
Northumberland	Line Mountain	N	N	Line Mountain School District																											
Northumberland	Milton Area	N	N	Milton Area School District																											
Northumberland	Mount Carmel Area	Y	N	Mount Carmel Area School District																											
Northumberland	Northumberland County Career And Technical Center	N	N	Northumberland County Career And Technical Center																											
Northumberland	Shamokin Area	Y	N	Shamokin Area School District																											
Northumberland	Shikellamy	N	N	Shikellamy School District																											
Northumberland	Warrior Run	N	N	Warrior Run School District																											
Perry	Greenwood	N	N	Greenwood School District																											
Perry	Newport	N	N	Newport School District																											
Perry	Susquenita	N	N	Susquenita School District																											
Perry	West Perry	N	N	West Perry School District																											
Philadelphia	Ad Prima Cs	N	N	Ad Prima Cs																											
Philadelphia	Alliance For Progress Cs	N	N	Alliance For Progress Cs																											
Philadelphia	Antonia Pantoja Community Charter School	N	N	Antonia Pantoja Community Charter School																											
Philadelphia	Arise Academy Charter High School	N	N	Arise Academy Charter High School																											
Philadelphia	Aspira Bilingual Cyber Charter School	N	N	Aspira Bilingual Cyber Charter School																											
Philadelphia	Belmont Charter School	N	N	Belmont Charter School																											
Philadelphia	Birney Preparatory Academy	N	N	Birney Preparatory Academy																											
Philadelphia	Boys Latin Of Philadelphia Cs	N	N	Boys Latin Of Philadelphia Cs																											
Philadelphia	Christopher Columbus Cs	N	N	Christopher Columbus Cs																											
Philadelphia	Community Academy Of Philadelphia Cs	N	N	Community Academy Of Philadelphia Cs																											
Philadelphia	Deep Roots Charter School	N	N	Deep Roots Charter School																											
Philadelphia	Delaware Valley Chs	N	N	Delaware Valley Chs																											
Philadelphia	Discovery Charter School	N	N	Discovery Charter School																											
Philadelphia	Esperanza Academy Charter High School	N	N	Esperanza Academy Charter High School																											
Philadelphia	Esperanza Cyber Cs	N	N	Esperanza Cyber Cs																											
Philadelphia	Eugenio Maria De Hostos Cs	N	N	Eugenio Maria De Hostos Cs																											
Philadelphia	First Philadelphia Preparatory Charter School	N	N	First Philadelphia Preparatory Charter School																											
Philadelphia	Folk Arts-Cultural Treasures Cs	N	N	Folk Arts-Cultural Treasures Cs																											
Philadelphia	Franklin Towne Charter Elementary School	N	N	Franklin Towne Charter Elementary School																											
Philadelphia	Franklin Towne Chs	N	N	Franklin Towne Chs																											
Philadelphia	Freire Cs	N	N	Freire Cs																											
Philadelphia	Global Leadership Academy Cs	N	N	Global Leadership Academy Cs																											
Philadelphia	Global Leadership Academy Cs Southwest At Huey	N	N	Global Leadership Academy Cs Southwest At Huey																											
Philadelphia	Green Woods Cs	N	N	Green Woods Cs																											
Philadelphia	Hardy Williams Academy Cs	N	N	Hardy Williams Academy Cs																											
Philadelphia	Imani Education Circle Cs	N	N	Imani Education Circle Cs																											
Philadelphia	Imhotep Institute Chs	N	N	Imhotep Institute Chs																											
Philadelphia	Independence Charter School	N	N	Independence Charter School																											
Philadelphia	Independence Cs West	N	N	Independence Cs West																											
Philadelphia	Inquiry Charter School	N	N	Inquiry Charter School																											
Philadelphia	John B Stetson Charter School	N	N	John B Stetson Charter School																											
Philadelphia	Khepera Cs	N	N	Khepera Cs																											
Philadelphia	KIPP DuBois Charter School	N	N	KIPP DuBois Charter School																											
Philadelphia	KIPP North Philadelphia Charter School	N	N	KIPP North Philadelphia Charter School																											
Philadelphia	KIPP Philadelphia Charter School	N	N	KIPP Philadelphia Charter School																											
Philadelphia	KIPP West Philadelphia Cs	N	N	KIPP West Philadelphia Cs																											
Philadelphia	Laboratory Cs	N	N	Laboratory Cs																											
Philadelphia	Mariana Bracetti Academy Cs	N	N	Mariana Bracetti Academy Cs																											
Philadelphia	Maritime Academy Charter School	N	N	Maritime Academy Charter School																											
Philadelphia	Mast Community Charter School	N	N	Mast Community Charter School																											
Philadelphia	Mast Community Cs Ii	N	N	Mast Community Cs Ii																											
Philadelphia	Mastery Charter High School	N	N	Mastery Charter High School																											
Philadelphia	Mastery Cs - Cleveland Elementary	N	N	Mastery Cs - Cleveland Elementary																											
Philadelphia	Mastery Cs - Francis D. Pastorius Elementary	N	N	Mastery Cs - Francis D. Pastorius Elementary																											
Philadelphia	Mastery Cs John Wister Elementary	N	N	Mastery Cs John Wister Elementary																											
Philadelphia	Mastery Cs-Clymer Elementary	N	N	Mastery Cs-Clymer Elementary																											
Philadelphia	Mastery Cs-Gratz Campus	N	N	Mastery Cs-Gratz Campus																											
Philadelphia	Mastery Cs-Harrity Campus	N	N	Mastery Cs-Harrity Campus																											
Philadelphia	Mastery Cs-Mann Campus	N	N	Mastery Cs-Mann Campus																											
Philadelphia	Mastery Cs-Pickett Campus	N	N	Mastery Cs-Pickett Campus																											
Philadelphia	Mastery Cs-Shoemaker Campus	N	N	Mastery Cs-Shoemaker Campus																											
Philadelphia	Mastery Cs-Smedley Campus	N	N	Mastery Cs-Smedley Campus																											
Philadelphia	Mastery Cs-Thomas Campus	N	N	Mastery Cs-Thomas Campus																											
Philadelphia	Mastery Prep Elementary Charter School	N	N	Mastery Prep Elementary Charter School																											
Philadelphia	Math Civics And Sciences Cs	N	N	Math Civics And Sciences Cs																											
Philadelphia	Memphis Street Academy Cs @ Jp Jones	N	N	Memphis Street Academy Cs @ Jp Jones																											
Philadelphia	Multi-Cultural Academy Cs	N	N	Multi-Cultural Academy Cs																											
Philadelphia	New Foundations Cs	N	N	New Foundations Cs																											
Philadelphia	New Media Technology Cs	N	N	New Media Technology Cs																											
Philadelphia	Northwood Academy Cs	N	N	Northwood Academy Cs																											
Philadelphia	Olney Charter High School	N	N	Olney Charter High School																											
Philadelphia	Pan American Academy Cs	N	N	Pan American Academy Cs																											
Philadelphia	People For People Cs	N	N	People For People Cs																											
Philadelphia	Philadelphia Academy Cs	N	N	Philadelphia Academy Cs																											
Philadelphia	Philadelphia City	Y	Y	Philadelphia City School District																											
Philadelphia	Philadelphia Electrical & Technical Chs	N	N	Philadelphia Electrical & Technical Chs																											
Philadelphia	Philadelphia Harambee Institute Cs	N	N	Philadelphia Harambee Institute Cs																											
Philadelphia	Philadelphia Montessori Cs	N	N	Philadelphia Montessori Cs																											
Philadelphia	Philadelphia Performing Arts Cs	N	N	Philadelphia Performing Arts Cs																											
Philadelphia	Planet Abacus Cs	N	N	Planet Abacus Cs																											
Philadelphia	Preparatory Cs Of Mathematics Science Technical And Careers	N	N	Preparatory Cs Of Mathematics Science Technical And Careers																											
Philadelphia	Renaissance Charter School	N	N	Renaissance Charter School																											
Philadelphia	Richard Allen Preparatory Cs	N	N	Richard Allen Preparatory Cs																											
Philadelphia	Russell Byers Cs	N	N	Russell Byers Cs																											
Philadelphia	Sankofa Freedom Academy Charter School	N	N	Sankofa Freedom Academy Charter School																											
Philadelphia	Southwest Leadership Academy Cs	N	N	Southwest Leadership Academy Cs																											
Philadelphia	Tacony Academy Charter School	N	N	Tacony Academy Charter School																											
Philadelphia	Technical Freire Cs	N	N	Technical Freire Cs																											
Philadelphia	The Philadelphia Cs For Arts And Sciences At Hr Edmunds	N	N	The Philadelphia Cs For Arts And Sciences At Hr Edmunds																											
Philadelphia	Truebright Science Academy Cs	N	N	Truebright Science Academy Cs																											
Philadelphia	Universal Alcorn Cs	N	N	Universal Alcorn Cs																											
Philadelphia	Universal Audenried Charter School	N	N	Universal Audenried Charter School																											
Philadelphia	Universal Bluford Charter School	N	N	Universal Bluford Charter School																											
Philadelphia	Universal Creighton Charter School	N	N	Universal Creighton Charter School																											
Philadelphia	Universal Daroff Charter School	N	N	Universal Daroff Charter School																											
Philadelphia	Universal Institute Cs	N	N	Universal Institute Cs																											
Philadelphia	Universal Vare Charter School	N	N	Universal Vare Charter School																											
Philadelphia	Wakisha Cs	N	N	Wakisha Cs																											
Philadelphia	Walter D Palmer Leadership Learning Partners Cs	N	N	Walter D Palmer Leadership Learning Partners Cs																											
Philadelphia	West Oak Lane Cs	N	N	West Oak Lane Cs																											
Philadelphia	West Phila. Achievement Ces	N	N	West Phila. Achievement Ces																											
Philadelphia	Wissahickon Cs	N	N	Wissahickon Cs																											
Philadelphia	World Communications Cs	N	N	World Communications Cs																											
Philadelphia	Young Scholars Cs	N	N	Young Scholars Cs																											
Philadelphia	Young Scholars Frederick Douglas Charter School	N	N	Young Scholars Frederick Douglas Charter School																											
Philadelphia	Young Scholars Kenderton Cs	N	N	Young Scholars Kenderton Cs																											
Philadelphia	Youth Build Phila Cs	N	N	Youth Build Phila Cs																											
Pike	Delaware Valley	N	N	Delaware Valley School District																											
Pike	Wallenpaupack Area	N	N	Wallenpaupack Area School District																											
Potter	Austin Area	N	N	Austin Area School District																											
Potter	Coudersport Area	N	N	Coudersport Area School District																											
Potter	Galeton Area	N	N	Galeton Area School District																											
Potter	Northern Potter	N	N	Northern Potter School District																											
Potter	Oswayo Valley	N	N	Oswayo Valley School District																											
Schuylkill	Blue Mountain	N	N	Blue Mountain School District																											
Schuylkill	Gillingham Charter School	N	N	Gillingham Charter School																											
Schuylkill	Mahanoy Area	Y	Y	Mahanoy Area School District																											
Schuylkill	Minersville Area	Y	Y	Minersville Area School District																											
Schuylkill	North Schuylkill	Y	N	North Schuylkill School District																											
Schuylkill	Pine Grove Area	N	N	Pine Grove Area School District																											
Schuylkill	Pottsville Area	Y	N	Pottsville Area School District																											
Schuylkill	Saint Clair Area	Y	N	Saint Clair Area School District																											
Schuylkill	Schuylkill Haven Area	N	N	Schuylkill Haven Area School District																											
Schuylkill	Schuylkill Technology Centers	N	N	Schuylkill Technology Centers																											
Schuylkill	Shenandoah Valley	Y	Y	Shenandoah Valley School District																											
Schuylkill	Tamaqua Area	Y	N	Tamaqua Area School District																											
Schuylkill	Tri-Valley	N	Y	Tri-Valley School District																											
Schuylkill	Willams Valley	N	Y																												
Snyder	Midd-West	N	N	Midd-West School District																											
Snyder	Selinsgrove Area	N	N	Selinsgrove Area School District																											
Somerset	Berlin Brothersvalley	N	N	Berlin Brothersvalley School District																											
Somerset	Conemaugh Township Area	N	N	Conemaugh Township Area School District																											
Somerset	Meyersdale Area	N	N	Meyersdale Area School District																											
Somerset	North Star	N	N	North Star School District																											
Somerset	Rockwood Area	N	N	Rockwood Area School District																											
Somerset	Salisbury-Elk Lick	N	Y	Salisbury-Elk Lick School District																											
Somerset	Shade-Central City	N	N	Shade-Central City School District																											
Somerset	Shanksville-Stonycreek	N	N	Shanksville-Stonycreek School District																											
Somerset	Somerset Area	N	N	Somerset Area School District																											
Somerset	Somerset County Technology Center	N	N	Somerset County Technology Center																											
Somerset	Turkeyfoot Valley Area	N	Y	Turkeyfoot Valley Area School District																											
Somerset	Windber Area	N	N	Windber Area School District																											
Sullivan	Sullivan County	N	N	Sullivan County School District																											
Susquehanna	Blue Ridge	N	N	Blue Ridge School District																											
Susquehanna	Elk Lake	N	N	Elk Lake School District																											
Susquehanna	Forest City Regional	N	N	Forest City Regional School District																											
Susquehanna	Montrose Area	N	N	Montrose Area School District																											
Susquehanna	Mountain View	N	N	Mountain View School District																											
Susquehanna	Susquehanna Community	N	N	Susquehanna Community School District																											
Susquehanna	Susquehanna County Career And Technical Center	N	N	Susquehanna County Career And Technical Center																											
Tioga	Northern Tioga	N	N	Northern Tioga School District																											
Tioga	Southern Tioga	N	N	Southern Tioga School District																											
Tioga	Wellsboro Area	N	N	Wellsboro Area School District																											
Union	Lewisburg Area	N	N	Lewisburg Area School District																											
Union	Mifflinburg Area	N	N	Mifflinburg Area School District																											
Union	Sun Area Technical Institute	N	N	Sun Area Technical Institute School District																											
Venango	Cranberry Area	N	N	Cranberry Area School District																											
Venango	Franklin Area	Y	Y	Franklin Area School District																											
Venango	Oil City Area	Y	N	Oil City Area School District																											
Venango	Valley Grove	N	N	Valley Grove School District																											
Venango	Venango Technology Center	N	N	Venango Technology Center																											
Warren	Tidioute Community Cs	N	N	Tidioute Community Cs																											
Warren	Warren County	N	Y	Warren County School District																											
Warren	Warren County Avts	N	N	Warren County Avts School District																											
Washington	Avella Area	N	N	Avella Area School District																											
Washington	Bentworth	N	N	Bentworth School District																											
Washington	Bethlehem-Center	N	N	Bethlehem-Center School District																											
Washington	Burgettstown Area	N	N	Burgettstown Area School District																											
Washington	California Area	N	N	California Area School District																											
Washington	Canon-Mcmillan	N	N	Canon-Mcmillan School District																											
Washington	Charleroi	Y	N	Charleroi School District																											
Washington	Chartiers-Houston	N	N	Chartiers-Houston School District																											
Washington	Fort Cherry	N	N	Fort Cherry School District																											
Washington	Mcguffey	N	N	Mcguffey School District																											
Washington	Mon Valley Career And Technical Center	N	N	Mon Valley Career And Technical Center																											
Washington	Peters Township	N	N	Peters Township School District																											
Washington	Ringgold	Y	N	Ringgold School District																											
Washington	Trinity Area	N	N	Trinity Area School District																											
Washington	Washington	Y	N	Washington School District																											
Washington	Western Area Career And Technical Center	N	N	Western Area Career And Technical Center																											
Wayne	Wayne Highlands	N	N	Wayne Highlands School District																											
Wayne	Western Wayne	N	N	Western Wayne School District																											
Westmoreland	Belle Vernon Area	N	N	Belle Vernon Area School District																											
Westmoreland	Burrell	N	N	Burrell School District																											
Westmoreland	Central Westmoreland Career And Technical Center	N	N	Central Westmoreland Career And Technical Center																											
Westmoreland	Derry Area	N	N	Derry Area School District																											
Westmoreland	Dr Robert Ketterer Cs Inc.	N	N	Dr Robert Ketterer Cs Inc.																											
Westmoreland	Eastern Westmoreland Career And Technical Center	N	N	Eastern Westmoreland Career And Technical Center																											
Westmoreland	Franklin Regional	N	N	Franklin Regional School District																											
Westmoreland	Greater Latrobe	N	N	Greater Latrobe School District																											
Westmoreland	Greensburg Salem	Y	N	Greensburg Salem School District																											
Westmoreland	Hempfield Area	N	N	Hempfield Area School District																											
Westmoreland	Jeannette City	Y	N	Jeannette City School District																											
Westmoreland	Kiski Area	N	N	Kiski Area School District																											
Westmoreland	Ligonier Valley	N	N	Ligonier Valley School District																											
Westmoreland	Monessen City	Y	Y	Monessen City School District																											
Westmoreland	Mount Pleasant Area	N	N	Mount Pleasant Area School District																											
Westmoreland	New Kensington-Arnold	Y	Y	New Kensington-Arnold School District																											
Westmoreland	Northern Westmoreland Career And Technical Center	N	N	Northern Westmoreland Career And Technical Center																											
Westmoreland	Norwin	N	N	Norwin School District																											
Westmoreland	Penn-Trafford	N	N	Penn-Trafford School District																											
Westmoreland	Southmoreland	N	N	Southmoreland School District																											
Westmoreland	Yough	N	N	Yough School District																											
Wyoming	Lackawanna Trail	N	N	Lackawanna Trail School District																											
Wyoming	Tunkhannock Area	N	N	Tunkhannock Area School District																											
York	Central York	N	N	Central York School District																											
York	Crispus Attucks Youthbuild Cs	N	N	Crispus Attucks Youthbuild Cs																											
York	Dallastown Area	N	N	Dallastown Area School District																											
York	Dover Area	N	N	Dover Area School District																											
York	Eastern York	N	N	Eastern York School District																											
York	Hanover Public	N	N	Hanover Public School District																											
York	Helen Thackston Charter School	N	N	Helen Thackston Charter School																											
York	Lincoln Cs	N	N	Lincoln Cs																											
York	Northeastern York	N	N	Northeastern York School District																											
York	Northern York County	N	N	Northern York County School District																											
York	Red Lion Area	N	N	Red Lion Area School District																											
York	South Eastern	N	N	South Eastern School District																											
York	South Western	N	N	South Western School District																											
York	Southern York County	N	N	Southern York County School District																											
York	Spring Grove Area	N	N	Spring Grove Area School District																											
York	West Shore	N	N	West Shore School District																											
York	West York Area	N	N	West York Area School District																											
York	York Academy Regional Charter School	N	N	York Academy Regional Charter School																											
York	York City	Y	Y	York City School District																											
York	York County School Of Technology	N	N	York County School Of Technology																											
York	York Suburban	N	N	York Suburban School District																											