LEA,discipline: American Indian or Alaska Native,discipline: Asian or Pacific Islander,discipline: Asian,discipline: Hawaiian/ Pacific Islander,discipline: Hispanic,discipline: Black,discipline: White,discipline: Two or more races,discipline: Total,cumulative: American Indian or Alaska Native,percent: American Indian or Alaska Native,cumulative: Asian or Pacific Islander,percent: Asian or Pacific Islander,cumulative: Asian,percent: Asian,cumulative: Hawaiian/ Pacific Islander,percent: Hawaiian/ Pacific Islander,cumulative: Hispanic,percent: Hispanic,cumulative: Black,percent: Black,cumulative: White,percent: White,cumulative: Two or more races,percent: Two or more races,cumulative: Total,percent: Total,Ratio of black to white discipline,Lea State,School State,School,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,EL,type
North Penn,6,20,108,1,118,270,573,78,1184,46,13.043478260869565,1555,1.2861736334405145,5079,2.1264028352037805,29,3.4482758620689653,1891,6.240084611316764,2769,9.750812567713977,26462,2.165369208676593,996,7.831325301204819,38827,3.049424369639684,4.5030715910444545,PA,PA,Inglewood El Sch,4.21728E+11,2000,Total enrollment,,0,70,0,0,10,20,405,0,510,"20",Elementary
Pottstown,1,0,6,0,165,751,348,90,1361,21,4.761904761904762,20,0,62,9.67741935483871,7,0,1245,13.25301204819277,3146,23.871582962492052,4215,8.256227758007118,678,13.274336283185841,9404,14.472564866014462,2.8913425915777013,PA,PA,Edgewood El Sch,4.21968E+11,2000,Total enrollment,,0,0,0,0,20,105,165,0,290,"0",Elementary
Pottrstown,0,0,0,0,15,90,50,0,160,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,,,,,,,,,
Lower Merion,0,0,3,0,10,91,174,17,295,27,0,230,0,1739,0.1725129384703853,19,0,872,1.146788990825688,1801,5.052748473070516,17815,0.9767050238563009,880,1.9318181818181819,23383,1.2616003079160074,5.173259428031681,PA,PA,Penn Wynne Sch,4.21416E+11,2000,Total enrollment,,0,20,0,0,5,55,380,0,460,"0",Middle
Upper Merion,0,5,27,1,58,161,330,32,609,25,0,300,1.6666666666666667,1360,1.9852941176470589,38,2.6315789473684212,962,6.029106029106029,1052,15.304182509505704,7166,4.605079542283003,393,8.142493638676845,11296,5.39128895184136,3.3233264200944808,PA,PA,Roberts El Sch,4.22448E+11,2000,Total enrollment,,0,35,0,0,10,20,185,0,250,"15",Elementary
Upper Perkiomen,1,0,5,0,15,22,248,12,308,32,3.125,15,0,137,3.6496350364963503,0,NaN,404,3.712871287128713,211,10.42654028436019,8937,2.77498041848495,110,10.909090909090908,9851,3.126586133387473,3.757338327472864,PA,PA,Upper Perkiomen Ms,4.22454E+11,2000,Total enrollment,,0,5,0,0,20,15,1050,0,1095,"0",Middle
Norristown,0,0,8,0,376,1553,410,111,2463,17,0,155,0,260,3.076923076923077,0,NaN,6162,6.101914962674456,8304,18.701830443159924,5102,8.036064288514309,1098,10.109289617486338,21113,11.665798323307914,2.3272375346585834,PA,PA,Cole Manor El Sch,4.21698E+11,2000,Total enrollment,,0,10,0,0,10,275,115,0,410,"0",Elementary
Colonial,0,10,0,0,3,127,259,4,408,20,0,320,3.125,651,0,23,0,513,0.5847953216374269,1215,10.452674897119342,11273,2.2975250598775836,389,1.0282776349614395,14404,2.8325465148569844,4.549536838425728,PA,PA,Ridge Park El Sch,4.21947E+11,2000,Total enrollment,,0,40,0,0,5,10,270,0,330,"0",Elementary
Pottsgrove,0,0,4,0,65,278,459,109,915,20,0,25,0,109,3.669724770642202,7,0,484,13.429752066115702,1352,20.562130177514792,6988,6.568402976531196,634,17.19242902208202,9634,9.497612621963878,3.130461125936239,PA,PA,Lower Pottsgrove El Sch,4.21965E+11,2000,Total enrollment,,0,10,0,0,5,150,370,0,535,"0",Elementary
Spring-Ford,0,0,10,0,24,46,320,18,428,17,0,115,0,1194,0.8375209380234506,0,NaN,705,3.404255319148936,811,5.6720098643649814,17735,1.804341697208909,758,2.37467018469657,21355,2.004214469679232,3.1435342170160294,PA,PA,Spring-Ford Shs,4.22256E+11,2000,Total enrollment,,0,20,0,0,15,45,1315,0,1400,"0",Middle
Springfield,0,0,10,0,7,54,202,11,284,7,0,60,0,572,1.7482517482517483,10,0,227,3.0837004405286343,673,8.023774145616642,9589,2.1065804567733863,226,4.867256637168142,11354,2.5013211203100227,3.8089094199167315,PA,PA,Richardson Ms,4.2226E+11,2000,Total enrollment,,0,35,0,0,10,65,985,0,1090,"10",Middle
Upper Dublin,2,10,15,0,17,118,182,8,357,7,28.571428571428573,380,2.6315789473684212,921,1.6286644951140066,0,NaN,287,5.923344947735192,891,13.24354657687991,9898,1.8387553041018387,324,2.4691358024691357,12713,2.808149138676945,7.202451869118535,PA,PA,Maple Glen Elementary School,4.22439E+11,2000,Total enrollment,,0,55,0,0,5,10,350,0,420,"15",Middle
Central Bucks,0,5,17,0,54,52,694,33,850,36,0,350,1.4285714285714286,2691,0.63173541434411,27,0,2131,2.5340215861098074,836,6.220095693779904,47820,1.451275616896696,967,3.4126163391933817,54863,1.5493137451470025,4.285950663927306,PA,PA,Lenape Ms,4.20531E+11,2000,Total enrollment,,0,20,0,0,15,5,865,0,910,"10",Middle
Abington Heights,0,0,4,0,0,3,295,3,310,8,0,75,0,332,1.2048192771084338,8,0,222,0,147,2.0408163265306123,9418,3.1322998513484817,62,4.838709677419355,10282,3.014977630811126,0.6515392597717053,PA,PA,Clarks Summit El Sch,4.20201E+11,2000,Total enrollment,,0,5,0,0,5,5,385,0,405,"0",Elementary
Boyertown,0,0,5,2,46,36,624,26,739,10,0,55,0,226,2.2123893805309733,10,20,476,9.663865546218487,303,11.881188118811881,19300,3.233160621761658,307,8.469055374592834,20702,3.569703410298522,3.674790555978675,PA,PA,Boyertown Area Jhs-East,4.20396E+11,2000,Total enrollment,,0,10,0,0,0,5,750,0,765,"0",Middle
Central Bucks,6,5,32,0,69,44,1285,30,1491,53,11.320754716981131,2320,0.21551724137931033,2203,1.4525646845211075,16,0,2351,2.9349213100808167,1694,2.5974025974025974,90786,1.4154164739056683,658,4.5592705167173255,100086,1.4897188417960554,1.8350800950022739,,,,,,,,,,,,,,,,,,
LOWER MERION,0,10,22,0,58,252,471,12,845,78,0,1390,0.7194244604316546,1394,1.5781922525107603,4,0,830,6.9879518072289155,2887,8.728784205057153,28941,1.6274489478594383,320,3.75,35854,2.3567802755620013,5.363476511222061,,,,,,,,,,,,,,,,,,
North Penn,2,35,71,6,78,204,471,26,943,59,3.389830508474576,4345,0.8055235903337169,4822,1.4724180837826628,32,18.75,1896,4.113924050632911,3630,5.619834710743802,36717,1.282784541220688,431,6.0324825986078885,51947,1.8153117600631412,4.380965415591936,,,,,,,,,,,,,,,,,,
Springfield Township,0,0,4,0,14,70,125,1,214,11,0,75,0,162,2.4691358024691357,3,0,340,4.117647058823529,840,8.333333333333334,5346,2.338196782641227,202,0.49504950495049505,6974,3.068540292515056,3.5640000000000005,PA,PA,Springfield Twp El Sch-Erdenhm,4.22262E+11,2000,Total enrollment,,0,15,0,0,5,50,310,0,380,"5",Elementary
Perkiomen Valley,2,0,14,4,10,43,311,1,390,22,9.090909090909092,85,0,622,2.2508038585209005,17,23.529411764705884,523,1.9120458891013383,636,6.761006289308176,13354,2.328890220158754,92,1.0869565217391304,15361,2.538897207213072,2.90310218609072,PA,PA,Perkiomen Valley Ms,4.21893E+11,2000,Total enrollment,,0,15,0,0,20,35,855,0,925,"0",Middle
Abington,0,15,14,0,55,393,431,35,948,35,0,430,3.488372093023256,734,1.9073569482288828,13,0,1229,4.475183075671278,4410,8.91156462585034,15857,2.7180425048874315,782,4.475703324808184,23485,4.036619118586332,3.2786700759189986,PA,PA,Highland Sch,4.20204E+11,2000,Total enrollment,,0,35,0,0,5,65,370,0,475,"30",Middle
Cheltenham Township,0,10,4,0,16,280,82,2,399,10,0,430,2.3255813953488373,334,1.1976047904191616,12,0,346,4.624277456647399,4091,6.84429234905891,4265,1.9226260257913248,109,1.834862385321101,9597,4.157549234135668,3.5598666913092987,PA,PA,Glenside El Sch,4.20576E+11,2000,Total enrollment,,0,25,0,0,15,145,200,0,385,"0",Elementary
Hatboro-Horsham,0,5,7,0,30,100,542,13,707,12,0,290,1.7241379310344827,627,1.1164274322169059,16,0,764,3.926701570680628,682,14.662756598240469,12107,4.4767489881886515,291,4.4673539518900345,14809,4.774123843608616,3.2753135449243054,PA,PA,Keith Valley Ms,4.21161E+11,2000,Total enrollment,,0,65,0,0,25,40,1140,0,1275,"15",Middle
Lower Moreland Township,0,0,14,0,2,0,62,0,78,5,0,65,0,751,1.8641810918774966,8,0,131,1.5267175572519085,51,0,5040,1.2301587301587302,79,0,6125,1.273469387755102,0,PA,PA,Lower Moreland High School,4.21419E+11,2000,Total enrollment,,0,30,0,0,10,0,500,0,535,"0",Middle
Hatboro-Horsham,0,5,6,0,22,52,302,4,401,6,0,1070,0.4672897196261682,648,0.9259259259259259,12,0,685,3.2116788321167884,1221,4.2588042588042585,20318,1.4863667683827149,239,1.6736401673640167,24224,1.6553830911492735,2.865244534118706,,,,,,,,,,,,,,,,,,
Methacton,0,10,26,0,13,47,361,27,489,35,0,280,3.5714285714285716,1545,1.6828478964401294,10,0,380,3.4210526315789473,492,9.552845528455284,11151,3.237377813649,539,5.009276437847866,14432,3.3883037694013303,2.950797243429498,PA,PA,Eagleville El Sch,4.21425E+11,2000,Total enrollment,,0,50,0,0,10,10,310,0,380,"30",Elementary
Souderton S D,0,0,0,0,10,0,80,0,105,0,NaN,230,0,0,NaN,0,NaN,160,6.25,215,0,5825,1.3733905579399142,0,NaN,6430,1.6329704510108864,0,PA,PA,Souderton Area Shs,4.22187E+11,2000,Total enrollment,,0,50,0,0,30,55,1210,0,1345,"5",Middle
Upper Moreland Township,0,0,9,0,30,131,286,30,486,1,0,90,0,260,3.4615384615384617,13,0,480,6.25,666,19.66966966966967,7395,3.867478025693036,305,9.836065573770492,9210,5.276872964169381,5.085916335916336,PA,PA,Cold Spring El Sch,4.22451E+11,2000,Total enrollment,,0,15,0,0,5,60,575,0,655,"5",Elementary
Colonial Iu 20,0,0,0,0,0,0,0,0,0,0,NaN,5,0,0,NaN,0,NaN,70,0,60,0,475,0,0,NaN,615,0,NaN,PA,PA,Colonial Iu 20,4.2893E+11,2000,Total enrollment,,0,5,0,0,70,60,475,0,615,"0",Middle
Spring-Ford,0,0,2,0,22,78,424,4,550,53,0,560,0,1280,0.15625,6,0,951,2.3133543638275498,1735,4.495677233429395,32438,1.3071089462975523,520,0.7692307692307693,37573,1.4638171027067308,3.4394051438203466,,,,,,,,,,,,,,,,,,
Abington,0,15,0,0,5,265,265,0,555,5,0,425,3.5294117647058822,0,NaN,0,NaN,210,2.380952380952381,1565,16.93290734824281,5265,5.0332383665717,0,NaN,7470,7.429718875502008,3.3642172523961658,,,,,,,,,,,,,,,,,,
Perkiomen Valley School District,0,0,0,0,0,0,15,0,15,10,0,250,0,0,NaN,0,NaN,110,0,275,0,4880,0.3073770491803279,0,NaN,5520,0.2717391304347826,0,,,,,,,,,,,,,,,,,,
COLONIAL,0,0,8,0,19,200,606,8,866,22,0,450,0,742,1.0781671159029649,6,0,549,3.4608378870673953,2028,9.861932938856016,18931,3.2010987269557867,545,1.4678899082568808,23278,3.7202508806598504,3.080796245305004,,,,,,,,,,,,,,,,,,
Springfield,0,0,12,0,16,106,156,12,302,0,NaN,60,0,155,7.741935483870968,4,0,233,6.866952789699571,918,11.546840958605664,4973,3.1369394731550373,122,9.836065573770492,6465,4.671307037896365,3.6809256466119207,,,,,,,,,,,,,,,,,,
Abington,0,15,33,2,64,664,532,34,1364,20,0,395,3.7974683544303796,735,4.489795918367347,21,9.523809523809524,1147,5.579773321708806,4745,13.99367755532139,15052,3.5344140313579593,396,8.585858585858587,22521,6.056569424093069,3.959263807569503,,,,,,,,,,,,,,,,,,
Boyertown,4,0,4,0,10,37,901,48,1019,65,6.153846153846154,0,NaN,340,1.1764705882352942,32,0,315,3.1746031746031744,306,12.091503267973856,19902,4.527183197668576,367,13.079019073569482,21322,4.7791013976174845,2.6708667928880767,,,,,,,,,,,,,,,,,,
Norristown,0,5,14,0,606,2968,582,62,4232,4,0,270,1.8518518518518519,278,5.0359712230215825,2,0,6974,8.689417837682821,12079,24.571570494246213,6926,8.403118683222639,804,7.711442786069652,27307,15.497857692166845,2.924101327201878,,,,,,,,,,,,,,,,,,
SOUDERTON AREA,0,5,16,0,61,70,515,2,694,78,0,640,0.78125,716,2.2346368715083798,8,0,1106,5.5153707052441225,1050,6.666666666666667,23450,2.1961620469083156,110,1.8181818181818181,27163,2.5549460663402423,3.0355987055016183,,,,,,,,,,,,,,,,,,
ABINGTON HEIGHTS,0,0,18,0,15,10,516,6,580,14,0,125,0,277,6.498194945848375,2,0,216,6.944444444444445,181,5.524861878453039,9310,5.542427497314716,40,15,10165,5.705853418593212,0.9968306993875541,,,,,,,,,,,,,,,,,,
Upper Merion,2,15,12,8,59,186,315,20,627,60,3.3333333333333335,925,1.6216216216216217,1131,1.0610079575596818,55,14.545454545454545,1023,5.767350928641251,1394,13.342898134863702,9777,3.2218471923903036,207,9.66183574879227,14567,4.304249330678932,4.1413814306210295,,,,,,,,,,,,,,,,,,
Upper Perkiomen,0,0,0,0,12,15,403,2,442,54,0,80,0,135,0,4,0,411,2.9197080291970803,335,4.477611940298507,11935,3.3766233766233764,45,4.444444444444445,12999,3.4002615585814295,1.3260619977037886,,,,,,,,,,,,,,,,,,
METHACTON,0,10,23,0,42,50,393,12,540,33,0,1490,0.6711409395973155,1504,1.5292553191489362,10,0,508,8.26771653543307,803,6.226650062266501,16050,2.4485981308411215,445,2.696629213483146,20848,2.590176515732924,2.542944872757693,,,,,,,,,,,,,,,,,,
Pottstown,0,0,2,0,124,642,282,62,1127,31,0,70,0,72,2.7777777777777777,4,0,1435,8.641114982578397,4795,13.388946819603754,5565,5.067385444743936,404,15.346534653465346,12376,9.106334841628959,2.642180462804783,,,,,,,,,,,,,,,,,,
Upper Dublin,0,0,16,0,16,110,151,8,301,8,0,495,0,930,1.7204301075268817,0,NaN,198,8.080808080808081,997,11.033099297893681,9948,1.517893043827905,216,3.7037037037037037,12792,2.3530331457160725,7.268693497711679,,,,,,,,,,,,,,,,,,
SPRINGFIELD,0,0,2,0,8,117,354,6,487,12,0,285,0,451,0.4434589800443459,8,0,177,4.519774011299435,861,13.588850174216027,12643,2.799968361939413,136,4.411764705882353,14588,3.338360296133809,4.8532156144806,,,,,,,,,,,,,,,,,,
Lower Moreland,0,0,14,0,8,6,76,0,104,4,0,215,0,669,2.092675635276532,6,0,100,8,79,7.594936708860759,5207,1.4595736508546189,51,0,6331,1.6427104722792607,5.203530979347101,,,,,,,,,,,,,,,,,,
CHELTENHAM TOWNSHIP,8,25,24,0,41,1070,238,2,1423,24,33.333333333333336,370,6.756756756756757,707,3.3946251768033946,16,0,447,9.172259507829978,6430,16.640746500777606,5204,4.573405073020753,66,3.0303030303030303,13259,10.732332755109736,3.6385901172288513,,,,,,,,,,,,,,,,,,
SCHOOL DISTRICT OF UPPER DUBLIN,0,5,0,0,0,20,25,0,55,0,NaN,490,1.0204081632653061,0,NaN,0,NaN,60,0,380,5.2631578947368425,3275,0.7633587786259542,0,NaN,4210,1.3064133016627077,6.894736842105263,,,,,,,,,,,,,,,,,,
PERKIOMEN VALLEY,0,10,25,2,44,137,995,0,1218,42,0,325,3.076923076923077,656,3.8109756097560976,26,7.6923076923076925,531,8.286252354048964,899,15.239154616240267,14875,6.689075630252101,12,0,17361,7.0157249006393645,2.2782153257947133,,,,,,,,,,,,,,,,,,
Pottsgrove,8,5,4,0,87,493,755,51,1398,20,40,75,6.666666666666667,136,2.9411764705882355,10,0,486,17.901234567901234,1492,33.042895442359246,7238,10.431058303398729,400,12.75,9872,14.161264181523501,3.167741420023791,,,,,,,,,,,,,,,,,,
UPPER MORELAND TOWNSHIP,0,0,4,0,14,126,476,14,649,2,0,145,0,245,1.6326530612244898,16,0,356,3.932584269662921,668,18.862275449101798,7134,6.672273619287917,188,7.446808510638298,8754,7.413753712588531,2.826963719619585,,,,,,,,,,,,,,,,,,
COLONIAL IU 20,0,0,0,0,28,18,26,0,72,6,0,0,NaN,54,0,2,0,543,5.156537753222836,389,4.627249357326479,1581,1.644528779253637,67,0,2642,2.7252081756245268,2.813723551512755,,,,,,,,,,,,,,,,,,
SOUDERTON CS COLLABORATIVE,0,0,0,0,0,0,0,2,2,0,NaN,0,NaN,44,0,0,NaN,14,0,20,0,299,0,8,25,385,0.5194805194805194,NaN,,,,,,,,,,,,,,,,,,
Souderton,0,0,23,0,44,56,177,0,300,28,0,0,NaN,806,2.8535980148883375,25,0,1078,4.081632653061225,576,9.722222222222221,10459,1.6923224017592504,22,0,12994,2.3087578882561184,5.744899560577526,,,,,,,,,,,,,,,,,,
Souderton CS Collaborative,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,70,0,0,NaN,29,0,16,0,311,0,26,0,452,0,NaN,,,,,,,,,,,,,,,,,,
Colonial IU 20,0,0,0,0,0,4,4,0,8,3,0,0,NaN,59,0,3,0,637,0,374,1.0695187165775402,1560,0.2564102564102564,39,0,2675,0.29906542056074764,4.171122994652407,,,,,,,,,,,,,,,,,,
Southern Tioga,0,0,0,0,12,0,126,4,142,9,0,0,NaN,8,0,0,NaN,15,80,10,0,1679,7.504466944609887,17,23.529411764705884,1738,8.170310701956272,0,,,,,,,,,,,,,,,,,,
Connellsville,0,0,0,0,0,0,23,0,23,0,NaN,0,NaN,0,NaN,0,NaN,10,0,0,NaN,591,3.8917089678510997,10,0,611,3.7643207855973815,NaN,,,,,,,,,,,,,,,,,,
Northwestern,0,0,0,0,3,0,7,0,10,3,0,0,NaN,3,0,0,NaN,3,100,5,0,412,1.6990291262135921,14,0,440,2.272727272727273,0,,,,,,,,,,,,,,,,,,
Palisades,0,0,0,0,0,0,2,0,2,0,NaN,0,NaN,0,NaN,2,0,15,0,0,NaN,372,0.5376344086021505,9,0,398,0.5025125628140703,NaN,,,,,,,,,,,,,,,,,,
Wissahickon,0,0,6,1,6,26,38,8,85,2,0,0,NaN,467,1.284796573875803,2,50,246,2.4390243902439024,370,7.027027027027027,2322,1.636520241171404,210,3.8095238095238093,3619,2.3487151146725616,4.293883357041252,,,,,,,,,,,,,,,,,,
Dallastown,0,0,0,0,0,0,0,0,0,3,0,0,NaN,13,0,0,NaN,32,0,50,0,800,0,32,0,930,0,NaN,,,,,,,,,,,,,,,,,,
Cheltenham,0,0,10,0,17,202,28,4,261,8,0,0,NaN,317,3.1545741324921135,5,0,312,5.448717948717949,2339,8.636169303120992,1396,2.005730659025788,173,2.3121387283236996,4550,5.736263736263736,4.305747266841752,,,,,,,,,,,,,,,,,,